Number of Administration of Justice Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),352,345,280,315,350,361,371,398,380,504
Fraser Valley,RCMP Provincial,Agassiz Prov (2),28,17,26,28,22,17,18,11,25,15
Mount Waddington,RCMP Provincial,Alert Bay Prov,19,19,19,10,14,21,19,16,21,20
Cariboo,RCMP Provincial,Alexis Creek Prov,29,38,43,31,22,27,42,21,21,9
Cariboo,RCMP Provincial,Anahim Lake Prov,12,64,45,48,19,19,28,14,9,8
North Okanagan,RCMP Provincial,Armstrong Prov (3),29,4,16,18,17,17,22,14,8,12
Thompson Nicola,RCMP Provincial,Ashcroft Prov,27,34,16,12,22,13,17,12,10,14
Kitimat Stikine,RCMP Provincial,Atlin Prov,5,4,9,24,26,18,11,8,3,5
Thompson Nicola,RCMP Provincial,Barriere Prov,6,20,11,12,15,4,14,8,12,3
Central Coast,RCMP Provincial,Bella Bella Prov (4),46,23,24,25,48,37,31,18,22,12
Central Coast,RCMP Provincial,Bella Coola Prov,36,34,83,77,97,82,56,19,11,17
Fraser Valley,RCMP Provincial,Boston Bar Prov,2,1,3,4,5,4,12,0,4,3
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),9,32,46,29,55,45,26,22,29,36
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),3,4,3,17,8,20,19,13,5,3
Metro Vancouver,RCMP Provincial,Bowen Island Prov,6,0,2,4,1,4,1,2,1,1
Metro Vancouver,RCMP Municipal,Burnaby Mun,526,210,289,257,440,425,342,290,316,398
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,232,172,117,189,229,129,115,57,49,120
Strathcona,RCMP Municipal,Campbell River Mun,313,253,286,318,320,371,347,360,453,468
Strathcona,RCMP Provincial,Campbell River Prov,34,23,22,18,33,37,39,32,40,38
Central Kootenay,RCMP Municipal,Castlegar Mun,53,31,50,25,33,44,63,36,30,46
Central Kootenay,RCMP Provincial,Castlegar Prov (5),6,3,7,7,16,15,11,8,7,1
Capital,Independent Municipal,Central Saanich Mun,10,12,7,16,23,16,19,8,9,14
Thompson Nicola,RCMP Provincial,Chase Prov,24,32,37,30,29,46,29,37,37,15
Peace River,RCMP Provincial,Chetwynd Prov,128,75,82,87,100,104,77,70,56,69
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),274,234,194,191,186,254,217,242,261,270
Fraser Valley,RCMP Provincial,Chilliwack Prov,8,19,30,8,21,23,19,34,60,78
Thompson Nicola,RCMP Provincial,Clearwater Prov,25,15,6,15,7,13,4,12,2,5
Thompson Nicola,RCMP Provincial,Clinton Prov,4,4,2,10,2,2,1,5,3,4
North Okanagan,RCMP Municipal,Coldstream Mun,7,16,8,7,9,8,3,16,17,9
East Kootenay,RCMP Provincial,Columbia Valley Prov,65,80,31,15,19,22,40,32,30,27
Capital,RCMP Municipal,Colwood Mun,102,18,14,20,24,25,28,23,29,90
Comox Valley,RCMP Municipal,Comox Mun,34,21,12,26,16,25,14,14,12,11
Comox Valley,RCMP Provincial,Comox Valley Prov,97,52,42,57,47,50,50,47,35,60
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),372,240,214,226,231,238,239,234,256,295
Metro Vancouver,RCMP Provincial,Coquitlam Prov,3,1,0,5,0,1,2,1,1,1
Comox Valley,RCMP Municipal,Courtenay Mun,236,188,122,167,142,155,235,203,196,225
East Kootenay,RCMP Municipal,Cranbrook Mun,139,85,132,172,162,122,140,132,124,123
East Kootenay,RCMP Provincial,Cranbrook Prov,15,8,6,18,18,9,11,19,14,12
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,30,35,29,28
Central Kootenay,RCMP Provincial,Creston Prov (6),85,41,56,68,79,71,22,14,10,17
Peace River,RCMP Municipal,Dawson Creek Mun,186,189,140,158,193,135,142,133,133,167
Peace River,RCMP Provincial,Dawson Creek Prov,19,15,11,10,18,9,14,17,12,12
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,24,19,22,26,17,17,9,9,16,7
Metro Vancouver,Independent Municipal,Delta Mun (1),164,169,207,199,236,241,172,158,168,187
Cowichan Valley,RCMP Provincial,Duncan Prov,132,86,70,140,149,139,154,178,123,132
East Kootenay,RCMP Provincial,Elk Valley Prov (7),77,41,24,22,42,34,36,29,18,10
