Crime Rates,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),97.7,94.8,87.8,69.8,64.7,60.1,52.5,52.9,57.2,64.3
Fraser Valley,RCMP Provincial,Agassiz Prov (2),137.6,126.7,119.6,182.2,141.4,137.5,123.1,118.9,107.2,146.4
Mount Waddington,RCMP Provincial,Alert Bay Prov,179.0,221.1,202.1,218.9,198.0,205.8,204.3,171.1,170.7,138.3
Cariboo,RCMP Provincial,Alexis Creek Prov,319.6,275.7,251.4,182.9,126.5,152.4,191.9,197.4,177.2,122.0
Cariboo,RCMP Provincial,Anahim Lake Prov,395.3,530.9,393.6,325.4,228.9,220.3,258.8,232.4,221.3,158.2
North Okanagan,RCMP Provincial,Armstrong Prov (3),60.0,60.4,51.8,44.5,44.1,42.6,50.4,44.8,37.2,40.8
Thompson Nicola,RCMP Provincial,Ashcroft Prov,149.0,155.5,131.8,92.4,91.9,78.4,61.7,54.1,67.9,80.3
Kitimat Stikine,RCMP Provincial,Atlin Prov,110.2,96.2,152.3,231.9,183.6,211.8,279.6,155.6,170.2,131.9
Thompson Nicola,RCMP Provincial,Barriere Prov,68.5,76.5,60.3,47.6,47.8,42.8,50.6,54.7,62.0,73.7
Central Coast,RCMP Provincial,Bella Bella Prov (4),379.7,359.6,299.7,275.8,266.6,254.4,237.3,191.7,164.2,86.0
Central Coast,RCMP Provincial,Bella Coola Prov,212.2,190.5,192.5,181.4,215.6,184.5,203.0,93.7,119.8,98.5
Fraser Valley,RCMP Provincial,Boston Bar Prov,206.4,216.9,217.7,178.8,239.4,188.4,181.0,152.8,118.5,160.1
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),67.8,74.8,88.1,86.6,89.5,73.8,71.6,52.5,57.0,66.8
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),67.4,59.6,78.5,86.6,106.0,90.9,56.4,46.0,60.6,76.3
Metro Vancouver,RCMP Provincial,Bowen Island Prov,35.5,31.2,37.9,37.7,25.4,36.1,19.4,26.8,20.1,33.8
Metro Vancouver,RCMP Municipal,Burnaby Mun,109.2,91.3,80.7,81.9,70.7,64.8,64.2,57.6,61.9,62.5
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,274.6,232.7,177.9,203.0,202.2,160.7,160.0,144.8,123.7,112.9
Strathcona,RCMP Municipal,Campbell River Mun,177.8,159.1,135.1,130.4,123.4,109.3,103.5,97.2,99.2,96.7
Strathcona,RCMP Provincial,Campbell River Prov,102.0,84.1,65.3,72.4,74.7,81.3,82.2,70.3,70.3,111.7
Central Kootenay,RCMP Municipal,Castlegar Mun,164.8,160.1,142.1,117.3,105.9,95.6,88.6,87.9,80.0,83.6
Central Kootenay,RCMP Provincial,Castlegar Prov (5),52.0,48.2,41.7,45.6,39.7,39.4,42.0,35.4,36.0,34.8
Capital,Independent Municipal,Central Saanich Mun,45.1,52.1,44.1,43.1,37.7,29.6,32.8,28.5,26.6,28.7
Thompson Nicola,RCMP Provincial,Chase Prov,90.8,100.8,72.8,76.3,87.6,72.4,67.2,64.5,61.3,73.3
Peace River,RCMP Provincial,Chetwynd Prov,191.1,181.0,147.6,143.9,163.0,133.7,126.9,103.9,87.4,96.8
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),145.8,143.0,126.4,112.6,96.0,96.9,98.3,99.0,103.9,110.7
Fraser Valley,RCMP Provincial,Chilliwack Prov,78.7,149.5,163.2,108.8,139.0,123.5,132.7,147.5,165.5,184.1
Thompson Nicola,RCMP Provincial,Clearwater Prov,90.4,86.1,71.5,70.7,59.0,63.3,69.6,68.4,58.7,57.0
Thompson Nicola,RCMP Provincial,Clinton Prov,101.5,85.6,73.7,79.8,85.2,67.8,65.3,57.0,52.4,62.0
North Okanagan,RCMP Municipal,Coldstream Mun,36.4,37.8,48.7,40.7,35.1,30.6,29.7,31.9,31.3,32.6
East Kootenay,RCMP Provincial,Columbia Valley Prov,120.0,130.5,101.6,98.3,84.5,79.7,86.0,79.8,63.2,66.9
Capital,RCMP Municipal,Colwood Mun,91.1,82.3,59.1,49.1,41.9,35.7,39.9,29.9,27.4,36.6
Comox Valley,RCMP Municipal,Comox Mun,45.9,63.5,58.8,48.9,41.8,39.8,31.9,32.2,33.0,38.3
Comox Valley,RCMP Provincial,Comox Valley Prov,57.4,56.2,52.2,46.9,43.8,38.2,38.3,30.3,32.6,37.1
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),87.4,77.2,75.8,65.6,61.8,57.7,55.9,57.0,56.7,61.5
Metro Vancouver,RCMP Provincial,Coquitlam Prov,45.7,32.1,28.4,45.0,39.0,30.3,29.3,27.6,25.0,33.1
Comox Valley,RCMP Municipal,Courtenay Mun,151.4,158.6,134.6,135.2,120.6,107.8,93.2,100.0,101.7,108.7
East Kootenay,RCMP Municipal,Cranbrook Mun,126.4,139.9,116.5,110.9,118.3,108.5,103.6,89.5,75.7,78.5
East Kootenay,RCMP Provincial,Cranbrook Prov,41.6,47.4,39.9,50.7,46.9,49.5,44.9,45.7,32.3,34.0
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,76.9,98.3,82.6,97.8
Central Kootenay,RCMP Provincial,Creston Prov (6),102.0,88.0,70.5,71.5,71.1,65.0,53.3,40.7,35.2,52.3
Peace River,RCMP Municipal,Dawson Creek Mun,207.0,204.5,172.8,150.4,145.0,141.6,148.8,123.5,140.0,147.9
Peace River,RCMP Provincial,Dawson Creek Prov,52.9,40.5,39.1,39.8,41.1,38.9,38.2,37.5,47.6,52.9
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,195.5,174.7,171.0,180.7,130.8,121.2,130.1,111.4,138.7,122.3
Metro Vancouver,Independent Municipal,Delta Mun (1),69.5,65.6,67.2,65.3,59.0,54.6,53.0,47.5,51.5,46.0
Cowichan Valley,RCMP Provincial,Duncan Prov,233.7,205.5,166.9,137.1,156.5,158.1,141.0,145.4,130.6,140.2
East Kootenay,RCMP Provincial,Elk Valley Prov (7),108.7,103.7,91.7,86.9,87.3,72.5,64.3,54.1,56.6,44.1
North Okanagan,RCMP Provincial,Enderby Prov,113.4,110.4,64.6,58.0,69.3,61.7,59.4,65.4,63.8,58.2
Columbia Shuswap,RCMP Provincial,Falkland Prov,40.4,67.7,50.7,46.5,48.3,37.8,43.3,37.5,33.8,35.1
Bulkley Nechako,RCMP Provincial,Fort St James Prov,370.5,313.3,292.3,278.1,298.2,271.4,268.5,277.4,222.2,212.7
Peace River,RCMP Municipal,Fort St John Mun,212.8,179.2,186.9,192.0,167.8,156.8,155.5,142.5,147.5,145.9
Peace River,RCMP Provincial,Fort St John Prov,61.6,48.0,53.8,49.4,46.9,35.8,44.8,46.3,50.2,46.8
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,72.0,63.3,123.4,108.9,88.8,84.4,78.3,63.6,39.5,47.2
Nanaimo,RCMP Provincial,Gabriola Island Prov,43.1,73.4,69.5,60.1,59.7,37.5,37.9,40.1,55.6,48.6
Columbia Shuswap,RCMP Provincial,Golden Prov,107.8,98.7,101.8,89.5,81.7,81.8,85.6,74.3,65.5,79.5
