Number of Criminal Code Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"12,644","12,414","11,673","9,421","8,860","8,229","7,271","7,357","7,994","9,099"
Fraser Valley,RCMP Provincial,Agassiz Prov (2),"1,282","1,185","1,140",711,544,527,469,459,413,534
Mount Waddington,RCMP Provincial,Alert Bay Prov,259,315,288,306,273,282,277,232,232,187
Cariboo,RCMP Provincial,Alexis Creek Prov,557,475,437,317,218,261,328,339,306,209
Cariboo,RCMP Provincial,Anahim Lake Prov,285,378,283,233,163,156,183,165,158,112
North Okanagan,RCMP Provincial,Armstrong Prov (3),590,599,526,464,462,447,276,245,201,223
Thompson Nicola,RCMP Provincial,Ashcroft Prov,563,593,507,354,347,294,229,200,253,290
Kitimat Stikine,RCMP Provincial,Atlin Prov,79,71,67,99,76,86,118,68,73,55
Thompson Nicola,RCMP Provincial,Barriere Prov,261,292,235,188,186,166,198,214,246,285
Central Coast,RCMP Provincial,Bella Bella Prov (4),614,574,475,438,429,417,391,313,269,141
Central Coast,RCMP Provincial,Bella Coola Prov,408,362,361,341,413,362,396,180,229,189
Fraser Valley,RCMP Provincial,Boston Bar Prov,135,141,143,115,152,120,114,97,75,98
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),600,667,796,777,781,637,611,436,466,523
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),190,170,229,252,307,263,160,127,165,200
Metro Vancouver,RCMP Provincial,Bowen Island Prov,123,108,131,129,87,123,67,93,70,120
Metro Vancouver,RCMP Municipal,Burnaby Mun,"22,986","19,595","17,609","18,255","16,079","14,848","14,965","13,512","14,538","14,881"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,"1,730","1,451","1,111","1,259","1,258","1,002",996,905,785,704
Strathcona,RCMP Municipal,Campbell River Mun,"5,346","4,831","4,170","4,064","3,863","3,468","3,279","3,106","3,225","3,230"
Strathcona,RCMP Provincial,Campbell River Prov,553,451,352,391,398,431,432,367,372,590
Central Kootenay,RCMP Municipal,Castlegar Mun,"1,214","1,200","1,081",921,830,759,701,688,625,665
Central Kootenay,RCMP Provincial,Castlegar Prov (5),308,286,249,271,237,236,250,211,217,210
Capital,Independent Municipal,Central Saanich Mun,720,833,710,693,605,475,526,456,427,461
Thompson Nicola,RCMP Provincial,Chase Prov,753,833,615,646,729,598,556,533,511,607
Peace River,RCMP Provincial,Chetwynd Prov,"1,032",963,782,770,876,725,690,567,480,528
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"10,852","10,949","9,903","8,978","7,829","8,035","8,187","8,364","8,926","9,940"
Fraser Valley,RCMP Provincial,Chilliwack Prov,393,742,818,534,674,601,638,715,800,860
Thompson Nicola,RCMP Provincial,Clearwater Prov,386,368,312,310,255,271,301,296,257,245
Thompson Nicola,RCMP Provincial,Clinton Prov,179,151,134,147,155,124,120,105,97,113
North Okanagan,RCMP Municipal,Coldstream Mun,352,374,495,424,362,319,305,328,329,353
East Kootenay,RCMP Provincial,Columbia Valley Prov,"1,099","1,207",962,934,778,716,769,713,569,603
Capital,RCMP Municipal,Colwood Mun,"1,390","1,279",937,789,688,590,664,497,457,621
