Number of Drug Offences (CDSA),,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),383,429,348,426,516,459,463,407,336,291
Fraser Valley,RCMP Provincial,Agassiz Prov (2),75,53,62,37,40,75,95,73,38,33
Mount Waddington,RCMP Provincial,Alert Bay Prov,17,17,11,11,15,13,14,8,13,19
Cariboo,RCMP Provincial,Alexis Creek Prov,12,21,47,24,17,49,25,25,10,20
Cariboo,RCMP Provincial,Anahim Lake Prov,12,14,11,9,9,2,0,9,10,4
North Okanagan,RCMP Provincial,Armstrong Prov (3),54,53,37,34,38,41,33,25,18,7
Thompson Nicola,RCMP Provincial,Ashcroft Prov,38,86,66,42,31,24,25,11,22,28
Kitimat Stikine,RCMP Provincial,Atlin Prov,1,1,8,6,6,13,10,9,6,3
Thompson Nicola,RCMP Provincial,Barriere Prov,55,67,54,40,81,43,63,61,46,24
Central Coast,RCMP Provincial,Bella Bella Prov (4),59,23,23,18,18,9,13,13,6,5
Central Coast,RCMP Provincial,Bella Coola Prov,35,20,37,16,28,14,10,7,14,11
Fraser Valley,RCMP Provincial,Boston Bar Prov,10,15,12,12,10,19,19,16,22,11
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),54,57,39,76,79,93,69,43,82,74
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),46,27,12,35,82,47,20,28,38,22
Metro Vancouver,RCMP Provincial,Bowen Island Prov,8,2,10,7,7,3,12,3,3,5
Metro Vancouver,RCMP Municipal,Burnaby Mun,775,803,767,686,842,997,915,905,787,804
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,228,193,120,52,49,58,59,27,15,28
Strathcona,RCMP Municipal,Campbell River Mun,239,228,251,216,233,247,283,318,194,130
Strathcona,RCMP Provincial,Campbell River Prov,37,30,29,26,35,45,22,36,26,13
