Number of Homicide Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),3,1,6,9,4,0,3,2,3,3
Fraser Valley,RCMP Provincial,Agassiz Prov (2),2,2,2,1,1,0,0,0,0,2
Mount Waddington,RCMP Provincial,Alert Bay Prov,0,0,0,0,0,0,0,1,0,0
Cariboo,RCMP Provincial,Alexis Creek Prov,0,0,0,0,0,0,0,0,0,0
Cariboo,RCMP Provincial,Anahim Lake Prov,0,0,0,0,0,0,0,0,2,0
North Okanagan,RCMP Provincial,Armstrong Prov (3),0,0,0,0,0,1,0,0,0,0
Thompson Nicola,RCMP Provincial,Ashcroft Prov,0,0,0,0,0,1,0,0,1,0
Kitimat Stikine,RCMP Provincial,Atlin Prov,0,0,0,0,0,0,0,0,0,0
Thompson Nicola,RCMP Provincial,Barriere Prov,0,0,0,2,0,0,0,0,0,0
Central Coast,RCMP Provincial,Bella Bella Prov (4),1,0,0,0,0,0,0,0,0,0
Central Coast,RCMP Provincial,Bella Coola Prov,0,0,0,0,0,0,0,0,0,0
Fraser Valley,RCMP Provincial,Boston Bar Prov,0,0,0,0,0,0,1,0,0,0
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),0,0,0,1,0,0,0,0,0,0
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),0,0,1,0,0,0,0,0,0,0
Metro Vancouver,RCMP Provincial,Bowen Island Prov,0,0,0,0,0,0,0,0,0,0
Metro Vancouver,RCMP Municipal,Burnaby Mun,5,4,6,7,2,3,4,1,5,7
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,1,1,0,0,0,1,0,0,0,3
Strathcona,RCMP Municipal,Campbell River Mun,1,0,1,0,3,4,0,1,3,2
Strathcona,RCMP Provincial,Campbell River Prov,0,0,0,0,0,0,0,0,0,0
