Number of Theft of Motor Vehicle Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"1,476","1,331","1,224",784,672,551,336,389,468,653
Fraser Valley,RCMP Provincial,Agassiz Prov (2),118,88,66,33,23,34,10,21,16,25
Mount Waddington,RCMP Provincial,Alert Bay Prov,1,1,0,0,3,3,2,3,1,3
Cariboo,RCMP Provincial,Alexis Creek Prov,35,30,24,8,8,5,22,38,24,18
Cariboo,RCMP Provincial,Anahim Lake Prov,6,3,11,2,6,0,3,2,1,0
North Okanagan,RCMP Provincial,Armstrong Prov (3),35,39,31,44,36,27,15,10,12,7
Thompson Nicola,RCMP Provincial,Ashcroft Prov,23,20,26,26,15,11,10,7,5,10
Kitimat Stikine,RCMP Provincial,Atlin Prov,2,1,2,2,0,1,1,1,0,0
Thompson Nicola,RCMP Provincial,Barriere Prov,6,7,8,3,9,8,7,9,12,20
Central Coast,RCMP Provincial,Bella Bella Prov (4),3,2,0,1,0,1,1,5,1,0
Central Coast,RCMP Provincial,Bella Coola Prov,8,11,6,11,4,3,2,3,1,5
Fraser Valley,RCMP Provincial,Boston Bar Prov,2,4,3,3,5,12,2,7,3,5
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),38,30,25,47,21,16,17,14,12,20
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),23,16,17,14,16,8,4,4,7,19
Metro Vancouver,RCMP Provincial,Bowen Island Prov,2,7,5,4,4,1,2,3,0,5
Metro Vancouver,RCMP Municipal,Burnaby Mun,"1,763","1,616","1,202","1,157",881,650,558,479,873,723
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,17,15,13,13,15,12,12,12,5,9
Strathcona,RCMP Municipal,Campbell River Mun,136,169,108,58,62,78,56,28,61,57
Strathcona,RCMP Provincial,Campbell River Prov,33,15,11,6,7,17,3,4,11,7
Central Kootenay,RCMP Municipal,Castlegar Mun,24,19,23,24,13,2,12,11,12,11
Central Kootenay,RCMP Provincial,Castlegar Prov (5),16,8,12,22,7,6,9,9,5,10
Capital,Independent Municipal,Central Saanich Mun,16,19,16,7,3,11,9,8,5,8
Thompson Nicola,RCMP Provincial,Chase Prov,37,76,35,30,26,26,25,20,32,35
Peace River,RCMP Provincial,Chetwynd Prov,48,52,42,35,38,29,31,30,16,18
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"1,106",730,694,497,408,362,407,465,362,519
