Number of Other Criminal Code Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"1,103","1,127","1,221","1,112","1,064","1,112",963,918,962,735
Fraser Valley,RCMP Provincial,Agassiz Prov (2),212,281,244,222,141,147,140,119,123,135
Mount Waddington,RCMP Provincial,Alert Bay Prov,97,90,53,69,70,71,85,75,79,51
Cariboo,RCMP Provincial,Alexis Creek Prov,166,145,124,76,46,61,83,66,96,50
Cariboo,RCMP Provincial,Anahim Lake Prov,139,194,100,101,43,47,57,44,51,45
North Okanagan,RCMP Provincial,Armstrong Prov (3),96,146,60,52,71,73,60,54,39,56
Thompson Nicola,RCMP Provincial,Ashcroft Prov,179,171,144,67,76,58,54,47,82,111
Kitimat Stikine,RCMP Provincial,Atlin Prov,33,22,15,37,39,29,36,22,13,8
Thompson Nicola,RCMP Provincial,Barriere Prov,36,47,33,37,38,26,42,28,43,58
Central Coast,RCMP Provincial,Bella Bella Prov (4),269,213,158,122,131,86,58,71,80,43
Central Coast,RCMP Provincial,Bella Coola Prov,144,135,184,154,216,202,115,33,42,67
Fraser Valley,RCMP Provincial,Boston Bar Prov,27,36,36,29,31,26,29,18,22,22
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),114,77,129,96,170,120,91,68,85,129
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),44,25,24,29,39,55,37,31,21,24
Metro Vancouver,RCMP Provincial,Bowen Island Prov,25,15,19,21,8,18,9,13,11,19
Metro Vancouver,RCMP Municipal,Burnaby Mun,"3,449","2,031","1,311","1,281","1,502","1,600","1,234","1,178","1,231","1,254"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,872,627,363,404,417,322,399,327,232,234
Strathcona,RCMP Municipal,Campbell River Mun,"1,657","1,440","1,292","1,354","1,373","1,257","1,178","1,166","1,309","1,168"
Strathcona,RCMP Provincial,Campbell River Prov,184,144,118,152,156,176,147,124,105,118
Central Kootenay,RCMP Municipal,Castlegar Mun,360,304,295,268,212,198,179,182,177,181
Central Kootenay,RCMP Provincial,Castlegar Prov (5),89,56,67,57,53,57,62,49,44,41
Capital,Independent Municipal,Central Saanich Mun,61,74,45,68,83,59,58,42,39,54
Thompson Nicola,RCMP Provincial,Chase Prov,193,188,125,136,147,149,133,110,112,71
Peace River,RCMP Provincial,Chetwynd Prov,370,336,268,316,363,326,206,167,153,185
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"1,759","2,481","1,947","1,850","1,461","2,067","1,944","2,034","2,430","2,658"
Fraser Valley,RCMP Provincial,Chilliwack Prov,63,156,180,125,140,160,153,187,223,273
Thompson Nicola,RCMP Provincial,Clearwater Prov,90,84,67,66,63,62,93,96,64,44
Thompson Nicola,RCMP Provincial,Clinton Prov,41,22,30,32,18,14,14,19,17,22
North Okanagan,RCMP Municipal,Coldstream Mun,17,29,34,35,35,30,36,56,41,38
East Kootenay,RCMP Provincial,Columbia Valley Prov,283,319,155,123,119,105,177,148,149,109
Capital,RCMP Municipal,Colwood Mun,210,69,58,86,61,73,70,57,95,136
Comox Valley,RCMP Municipal,Comox Mun,116,163,123,148,117,100,93,101,101,103
Comox Valley,RCMP Provincial,Comox Valley Prov,277,276,275,271,235,206,192,179,149,211
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),"1,885","1,775","2,481","2,211","2,209","1,980","1,723","1,756","1,766","2,082"
Metro Vancouver,RCMP Provincial,Coquitlam Prov,19,16,19,33,30,17,23,16,18,10
Comox Valley,RCMP Municipal,Courtenay Mun,812,868,737,929,722,666,685,637,703,796
East Kootenay,RCMP Municipal,Cranbrook Mun,506,494,571,505,538,506,496,385,347,360
East Kootenay,RCMP Provincial,Cranbrook Prov,53,67,49,71,57,48,64,51,39,41
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,104,114,121,153
Central Kootenay,RCMP Provincial,Creston Prov (6),234,206,219,296,215,211,92,68,92,140
Peace River,RCMP Municipal,Dawson Creek Mun,715,720,551,645,688,650,626,538,654,506
Peace River,RCMP Provincial,Dawson Creek Prov,74,56,56,64,80,53,52,54,60,40
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,123,89,71,85,53,47,55,51,72,66
Metro Vancouver,Independent Municipal,Delta Mun (1),962,"1,014","1,315","1,394","1,346","1,199","1,072","1,027","1,119",949
Cowichan Valley,RCMP Provincial,Duncan Prov,636,519,441,454,735,928,900,770,549,486
East Kootenay,RCMP Provincial,Elk Valley Prov (7),304,222,238,209,223,227,187,153,166,121
North Okanagan,RCMP Provincial,Enderby Prov,159,177,97,98,83,72,98,109,87,108
Columbia Shuswap,RCMP Provincial,Falkland Prov,20,23,12,17,18,14,15,17,11,11
Bulkley Nechako,RCMP Provincial,Fort St James Prov,431,378,270,297,391,408,397,472,375,389
Peace River,RCMP Municipal,Fort St John Mun,"1,033",769,889,"1,101","1,006",975,"1,000",952,984,851
Peace River,RCMP Provincial,Fort St John Prov,141,123,128,128,110,68,123,119,135,111
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,60,32,73,85,49,78,72,70,53,52
Nanaimo,RCMP Provincial,Gabriola Island Prov,32,39,21,28,28,19,27,28,50,60
Columbia Shuswap,RCMP Provincial,Golden Prov,137,140,153,135,151,162,183,146,156,167
Fraser Valley,RCMP Municipal,Hope Mun,229,332,298,286,232,247,253,208,226,316
Fraser Valley,RCMP Provincial,Hope  Prov,45,32,36,44,41,24,29,37,35,40
Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),207,249,180,184,178,211,250,181,151,193
Peace River,RCMP Provincial,Hudson's Hope Prov,18,17,30,21,20,11,14,22,17,18
Thompson Nicola,RCMP Municipal,Kamloops Mun,"2,679","2,418","2,331","2,090","2,125","1,911","1,812","2,058","2,188","1,944"
Central Kootenay,RCMP Provincial,Kaslo Prov (5),45,15,17,14,13,17,21,22,26,38
