Populations,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"129,407","130,938","132,890","135,063","136,866","137,033","138,392","139,188","139,709","141,580"
Fraser Valley,RCMP Provincial,Agassiz Prov (2),"9,317","9,352","9,530","3,902","3,847","3,833","3,810","3,862","3,851","3,648"
Mount Waddington,RCMP Provincial,Alert Bay Prov,"1,447","1,425","1,425","1,398","1,379","1,370","1,356","1,356","1,359","1,352"
Cariboo,RCMP Provincial,Alexis Creek Prov,"1,743","1,723","1,738","1,733","1,723","1,713","1,709","1,717","1,727","1,713"
Cariboo,RCMP Provincial,Anahim Lake Prov,721,712,719,716,712,708,707,710,714,708
North Okanagan,RCMP Provincial,Armstrong Prov (3),"9,833","9,920","10,154","10,417","10,479","10,495","5,474","5,464","5,399","5,472"
Thompson Nicola,RCMP Provincial,Ashcroft Prov,"3,778","3,813","3,847","3,830","3,776","3,752","3,711","3,695","3,725","3,613"
Kitimat Stikine,RCMP Provincial,Atlin Prov,717,738,440,427,414,406,422,437,429,417
Thompson Nicola,RCMP Provincial,Barriere Prov,"3,810","3,816","3,897","3,947","3,888","3,878","3,916","3,911","3,969","3,865"
Central Coast,RCMP Provincial,Bella Bella Prov (4),"1,617","1,596","1,585","1,588","1,609","1,639","1,648","1,633","1,638","1,640"
Central Coast,RCMP Provincial,Bella Coola Prov,"1,923","1,900","1,875","1,880","1,916","1,962","1,951","1,922","1,912","1,918"
Fraser Valley,RCMP Provincial,Boston Bar Prov,654,650,657,643,635,637,630,635,633,612
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),"8,856","8,914","9,036","8,969","8,725","8,629","8,532","8,298","8,178","7,827"
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),"2,818","2,852","2,917","2,910","2,895","2,893","2,836","2,762","2,724","2,622"
Metro Vancouver,RCMP Provincial,Bowen Island Prov,"3,460","3,457","3,454","3,423","3,427","3,405","3,457","3,470","3,487","3,546"
Metro Vancouver,RCMP Municipal,Burnaby Mun,"210,400","214,617","218,157","223,008","227,469","229,228","233,127","234,507","234,774","238,209"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,"6,301","6,236","6,245","6,202","6,221","6,234","6,224","6,248","6,345","6,236"
Strathcona,RCMP Municipal,Campbell River Mun,"30,064","30,368","30,861","31,163","31,312","31,736","31,672","31,948","32,517","33,395"
Strathcona,RCMP Provincial,Campbell River Prov,"5,419","5,361","5,388","5,399","5,328","5,300","5,257","5,222","5,289","5,280"
Central Kootenay,RCMP Municipal,Castlegar Mun,"7,368","7,497","7,608","7,851","7,840","7,941","7,910","7,825","7,809","7,953"
Central Kootenay,RCMP Provincial,Castlegar Prov (5),"5,922","5,938","5,972","5,944","5,968","5,984","5,949","5,957","6,033","6,033"
Capital,Independent Municipal,Central Saanich Mun,"15,982","15,984","16,096","16,085","16,063","16,022","16,021","16,014","16,024","16,046"
Thompson Nicola,RCMP Provincial,Chase Prov,"8,293","8,260","8,444","8,469","8,319","8,263","8,278","8,268","8,337","8,283"
Peace River,RCMP Provincial,Chetwynd Prov,"5,401","5,321","5,299","5,350","5,373","5,424","5,436","5,459","5,491","5,455"
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"74,424","76,553","78,360","79,703","81,573","82,941","83,326","84,515","85,944","89,823"
Fraser Valley,RCMP Provincial,Chilliwack Prov,"4,993","4,962","5,013","4,910","4,848","4,867","4,808","4,846","4,834","4,671"
Thompson Nicola,RCMP Provincial,Clearwater Prov,"4,268","4,275","4,365","4,384","4,320","4,280","4,322","4,326","4,377","4,302"
Thompson Nicola,RCMP Provincial,Clinton Prov,"1,764","1,764","1,818","1,843","1,819","1,829","1,837","1,843","1,852","1,822"
North Okanagan,RCMP Municipal,Coldstream Mun,"9,672","9,907","10,165","10,422","10,318","10,415","10,286","10,277","10,523","10,821"
East Kootenay,RCMP Provincial,Columbia Valley Prov,"9,161","9,251","9,467","9,505","9,211","8,987","8,943","8,939","9,003","9,020"
Capital,RCMP Municipal,Colwood Mun,"15,259","15,532","15,854","16,061","16,402","16,515","16,650","16,638","16,676","16,955"
Comox Valley,RCMP Municipal,Comox Mun,"12,275","12,752","13,327","13,553","13,763","13,785","13,558","13,604","13,754","13,986"
Comox Valley,RCMP Provincial,Comox Valley Prov,"25,552","25,490","25,791","26,083","25,974","26,042","25,927","25,888","25,854","25,404"
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),"119,651","120,802","122,673","125,052","128,844","130,477","133,977","138,205","141,738","144,716"
Metro Vancouver,RCMP Provincial,Coquitlam Prov,"2,581","2,677","2,748","2,753","2,770","2,804","2,869","2,865","2,915","2,866"
Comox Valley,RCMP Municipal,Courtenay Mun,"22,461","23,250","23,745","23,890","24,108","24,596","24,563","24,451","24,639","25,244"
East Kootenay,RCMP Municipal,Cranbrook Mun,"18,471","18,682","19,140","19,496","19,540","19,737","19,613","19,452","19,558","19,911"
East Kootenay,RCMP Provincial,Cranbrook Prov,"6,795","6,728","6,770","6,725","6,655","6,529","6,521","6,560","6,570","6,537"
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,"5,295","5,065","5,014","4,744"
Central Kootenay,RCMP Provincial,Creston Prov (6),"12,747","12,946","13,211","13,257","13,329","13,402","8,048","8,115","8,265","8,337"
Peace River,RCMP Municipal,Dawson Creek Mun,"11,085","11,162","11,172","11,158","11,367","11,785","11,938","12,120","12,248","11,944"
Peace River,RCMP Provincial,Dawson Creek Prov,"6,879","6,885","6,827","6,864","6,883","6,872","6,942","7,022","7,045","7,050"
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,"1,437","1,431","1,281","1,273","1,254","1,246","1,307","1,329","1,363","1,349"
Metro Vancouver,Independent Municipal,Delta Mun (1),"100,104","100,201","100,703","101,480","101,846","102,093","102,755","102,502","102,384","101,548"
Cowichan Valley,RCMP Provincial,Duncan Prov,"14,239","14,280","14,448","14,510","14,628","14,632","14,564","14,461","14,521","14,540"
East Kootenay,RCMP Provincial,Elk Valley Prov (7),"13,466","13,418","13,583","13,651","13,625","13,805","13,665","13,705","13,810","13,552"
North Okanagan,RCMP Provincial,Enderby Prov,"6,810","6,859","6,931","6,964","6,955","6,920","6,851","6,885","6,899","6,837"
Columbia Shuswap,RCMP Provincial,Falkland Prov,"2,895","2,894","2,956","2,945","2,875","2,828","2,843","2,850","2,903","2,938"
Bulkley Nechako,RCMP Provincial,Fort St James Prov,"4,000","4,035","4,115","4,171","4,222","4,377","4,403","4,473","4,568","4,580"
Peace River,RCMP Municipal,Fort St John Mun,"17,924","18,105","18,227","18,637","18,749","19,375","19,870","20,592","21,118","20,778"
Peace River,RCMP Provincial,Fort St John Prov,"13,921","13,937","13,905","13,975","13,944","13,925","14,104","14,310","14,360","14,430"
Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,"3,293","3,269","3,273","3,279","3,321","3,355","3,357","3,367","3,446","3,451"
Nanaimo,RCMP Provincial,Gabriola Island Prov,"3,919","3,965","4,056","4,075","4,103","4,079","4,111","4,115","4,157","4,132"
Columbia Shuswap,RCMP Provincial,Golden Prov,"7,071","7,018","7,100","7,082","6,936","6,881","6,846","6,821","6,936","7,029"
Fraser Valley,RCMP Municipal,Hope Mun,"6,242","6,114","6,110","6,141","6,141","5,982","5,874","5,780","5,713","5,714"
Fraser Valley,RCMP Provincial,Hope  Prov,"1,187","1,179","1,191","1,167","1,152","1,157","1,142","1,152","1,149","1,110"
Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),"4,614","4,481","4,461","4,433","4,492","4,571","4,506","4,501","4,524","4,539"
Peace River,RCMP Provincial,Hudson's Hope Prov,"1,238","1,214","1,218","1,224","1,211","1,197","1,211","1,266","1,265","1,264"
Thompson Nicola,RCMP Municipal,Kamloops Mun,"83,097","84,341","86,149","87,089","87,071","87,852","87,703","88,294","89,454","89,995"
Central Kootenay,RCMP Provincial,Kaslo Prov (5),"2,370","2,436","2,415","2,394","2,370","2,350","2,349","2,341","2,364","2,365"
Central Okanagan,RCMP Municipal,Kelowna Mun,"110,030","114,166","117,722","119,570","119,462","119,826","120,283","120,123","121,529","124,378"
Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)","44,072","44,946","48,501","23,071","23,250","19,034","14,683","15,154","15,799","16,290"
Fraser Valley,RCMP Municipal,Kent Mun (2),-,-,-,"5,659","5,763","5,792","5,807","5,838","5,881","6,195"
Okanagan Similkameen,RCMP Provincial,Keremeos Prov,"4,771","4,767","4,878","4,880","4,761","4,695","4,650","4,639","4,725","4,820"
East Kootenay,RCMP Municipal,Kimberley Mun,"6,182","6,317","6,514","6,702","6,635","6,721","6,576","6,488","6,701","6,746"
East Kootenay,RCMP Provincial,Kimberley Prov,"1,978","1,958","1,971","1,958","1,937","1,900","1,898","1,909","1,912","1,903"
Kitimat Stikine,RCMP Municipal,Kitimat Mun,"9,327","8,976","8,948","8,891","8,718","8,538","8,333","8,367","8,465","8,211"
Kitimat Stikine,RCMP Provincial,Kitimat Prov,529,520,530,530,524,523,549,556,576,572
Cowichan Valley,RCMP Municipal,Ladysmith Mun,"7,632","7,822","7,916","7,907","7,948","7,992","8,071","8,154","8,266","8,177"
Cowichan Valley,RCMP Provincial,Ladysmith Prov,"5,514","5,570","5,656","5,677","5,759","5,794","5,767","5,795","5,848","5,918"
Central Okanagan,RCMP Municipal,Lake Country Mun,"9,776","10,232","11,036","11,469","11,574","11,885","12,193","12,342","13,048","14,035"
Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,"5,796","5,785","5,863","6,004","6,015","5,973","6,011","6,034","6,105","6,148"
Capital,RCMP Municipal,Langford Mun,"23,542","24,787","26,173","27,450","29,277","30,430","31,698","33,422","34,763","37,275"
Metro Vancouver,RCMP Municipal,Langley City Mun,"24,851","25,118","25,295","25,430","25,689","25,845","26,625","26,694","26,805","27,738"
Metro Vancouver,RCMP Municipal,Langley Township Mun (1),"97,293","99,637","102,179","104,298","105,783","106,814","109,599","112,606","115,897","117,580"
Squamish Lillooet,RCMP Provincial,Lillooet Prov,"3,269","3,214","3,258","3,247","3,227","3,241","3,311","3,307","3,297","3,338"
Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,"1,959","1,925","1,963","1,963","1,940","1,935","2,033","2,059","2,132","2,119"
Thompson Nicola,RCMP Provincial,Logan Lake Prov,"2,685","2,651","2,636","2,609","2,581","2,569","2,552","2,572","2,572","2,588"
North Okanagan,RCMP Provincial,Lumby Prov,"5,798","5,845","5,915","5,953","5,911","5,873","5,898","5,896","5,962","5,921"
Thompson Nicola,RCMP Provincial,Lytton Prov,"1,902","1,900","1,931","1,961","1,910","1,907","1,924","1,932","1,972","1,920"
Fraser Fort George,RCMP Provincial,Mackenzie Prov,"4,743","4,611","4,288","3,821","3,652","3,664","3,641","3,612","3,643","3,619"
Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),"71,645","72,777","74,346","75,612","76,997","77,961","79,125","79,530","81,098","81,533"
North Coast Regional District (22),RCMP Provincial,Masset Prov,"2,275","2,229","2,175","2,112","2,058","2,062","2,024","2,012","2,031","2,009"
Fraser Fort George,RCMP Provincial,McBride Prov,"1,773","1,747","1,747","1,713","1,681","1,678","1,670","1,662","1,673","1,665"
Thompson Nicola,RCMP Municipal,Merritt Mun,"7,326","7,380","7,431","7,428","7,244","7,195","7,236","7,327","7,469","7,610"
Thompson Nicola,RCMP Provincial,Merritt Prov,"3,814","3,820","3,900","3,965","3,846","3,843","3,875","3,888","3,960","3,842"
Fraser Valley,RCMP Municipal,Mission Mun,"35,731","36,252","36,711","37,160","37,506","37,101","37,590","37,587","37,854","38,711"
Fraser Valley,RCMP Provincial,Mission Prov,"4,357","4,329","4,374","4,284","4,230","4,246","4,195","4,229","4,218","4,075"
Central Kootenay,RCMP Provincial,Nakusp Prov (5),"3,333","3,331","3,360","3,369","3,392","3,412","3,390","3,389","3,410","3,420"
Nanaimo,RCMP Municipal,Nanaimo Mun (1),"81,152","81,419","82,348","83,560","84,366","86,164","86,132","87,308","88,790","90,907"
