Number of Property Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"9,629","9,476","8,487","6,378","6,020","5,651","4,939","5,111","5,559","6,746"
Fraser Valley,RCMP Provincial,Agassiz Prov (2),873,724,691,356,313,279,237,255,202,307
Mount Waddington,RCMP Provincial,Alert Bay Prov,82,104,144,136,118,108,112,97,100,77
Cariboo,RCMP Provincial,Alexis Creek Prov,221,166,174,117,85,92,155,188,129,111
Cariboo,RCMP Provincial,Anahim Lake Prov,67,98,111,66,75,52,57,63,63,38
North Okanagan,RCMP Provincial,Armstrong Prov (3),385,399,383,321,295,254,144,142,131,130
Thompson Nicola,RCMP Provincial,Ashcroft Prov,261,277,247,198,166,146,110,90,111,113
Kitimat Stikine,RCMP Provincial,Atlin Prov,27,23,24,35,17,29,41,26,41,29
Thompson Nicola,RCMP Provincial,Barriere Prov,158,178,116,92,87,96,107,122,134,169
Central Coast,RCMP Provincial,Bella Bella Prov (4),195,231,199,149,152,200,210,123,104,65
Central Coast,RCMP Provincial,Bella Coola Prov,169,114,105,91,76,79,172,99,130,56
Fraser Valley,RCMP Provincial,Boston Bar Prov,78,80,83,67,93,72,66,58,40,63
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),400,486,554,549,449,384,432,277,325,309
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),112,114,163,153,209,160,93,76,103,142
Metro Vancouver,RCMP Provincial,Bowen Island Prov,72,79,91,87,62,71,44,55,32,63
Metro Vancouver,RCMP Municipal,Burnaby Mun,"16,410","14,529","13,412","14,046","12,259","11,055","11,820","10,680","11,605","11,817"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,409,413,450,528,564,446,399,420,371,314
Strathcona,RCMP Municipal,Campbell River Mun,"2,718","2,478","2,111","1,964","1,760","1,558","1,515","1,432","1,448","1,564"
Strathcona,RCMP Provincial,Campbell River Prov,269,195,176,149,170,178,194,183,211,397
Central Kootenay,RCMP Municipal,Castlegar Mun,647,732,597,516,431,358,330,336,316,343
Central Kootenay,RCMP Provincial,Castlegar Prov (5),163,173,128,164,117,107,104,106,101,108
Capital,Independent Municipal,Central Saanich Mun,560,640,569,512,420,334,379,322,299,325
Thompson Nicola,RCMP Provincial,Chase Prov,427,497,347,351,456,354,332,343,313,465
Peace River,RCMP Provincial,Chetwynd Prov,416,399,346,309,362,273,372,286,224,237
Fraser Valley,RCMP Municipal,Chilliwack Mun (1),"7,658","7,273","6,838","5,817","5,223","4,730","5,042","5,252","5,417","6,060"
Fraser Valley,RCMP Provincial,Chilliwack Prov,272,499,521,317,432,354,410,436,476,489
Thompson Nicola,RCMP Provincial,Clearwater Prov,224,204,172,164,129,149,148,145,134,143
Thompson Nicola,RCMP Provincial,Clinton Prov,99,95,74,77,87,75,81,52,59,63
North Okanagan,RCMP Municipal,Coldstream Mun,289,297,385,304,267,228,210,206,241,262
East Kootenay,RCMP Provincial,Columbia Valley Prov,579,769,613,622,487,449,439,410,312,339
Capital,RCMP Municipal,Colwood Mun,"1,014","1,040",705,581,526,407,486,360,272,380
Comox Valley,RCMP Municipal,Comox Mun,356,555,556,431,387,341,249,266,271,343
Comox Valley,RCMP Provincial,Comox Valley Prov,902,892,874,713,635,573,546,432,472,528
Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),"7,073","6,354","5,691","4,864","4,683","4,619","4,758","5,172","5,334","5,828"
Metro Vancouver,RCMP Provincial,Coquitlam Prov,76,65,43,69,61,60,50,53,43,68
Comox Valley,RCMP Municipal,Courtenay Mun,"2,017","2,208","1,994","1,732","1,693","1,448","1,106","1,382","1,399","1,476"
East Kootenay,RCMP Municipal,Cranbrook Mun,"1,392","1,668","1,201","1,146","1,231","1,065","1,022",912,744,754
East Kootenay,RCMP Provincial,Cranbrook Prov,180,173,148,186,150,182,146,162,120,112
Central Kootenay,RCMP Municipal,Creston Mun (6),-,-,-,-,-,-,227,314,233,240
Central Kootenay,RCMP Provincial,Creston Prov (6),839,718,496,468,535,509,244,210,153,209
Peace River,RCMP Municipal,Dawson Creek Mun,"1,246","1,218","1,047",745,663,654,769,621,744,930
Peace River,RCMP Provincial,Dawson Creek Prov,221,177,164,144,153,162,151,156,207,277
Kitimat Stikine,RCMP Provincial,Dease Lake Prov,78,56,80,64,52,53,54,37,52,51
Metro Vancouver,Independent Municipal,Delta Mun (1),"4,867","4,629","4,417","4,202","3,777","3,596","3,678","3,245","3,564","3,133"
Cowichan Valley,RCMP Provincial,Duncan Prov,"2,038","1,865","1,503","1,182","1,228","1,019",850,979,"1,034","1,194"
East Kootenay,RCMP Provincial,Elk Valley Prov (7),872,943,764,732,710,553,499,395,477,349
North Okanagan,RCMP Provincial,Enderby Prov,449,460,261,222,290,233,213,230,272,205
