Number of Violent Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Valley,Independent Municipal,Abbotsford Mun (1),"1,912","1,811","1,965","1,931","1,776","1,466","1,369","1,328","1,473","1,618"
Fraser Valley,RCMP Provincial,Agassiz Prov (2),197,180,205,133,90,101,92,85,88,92
Mount Waddington,RCMP Provincial,Alert Bay Prov,80,121,91,101,85,103,80,60,53,59
Cariboo,RCMP Provincial,Alexis Creek Prov,170,164,139,124,87,108,90,85,81,48
Cariboo,RCMP Provincial,Anahim Lake Prov,79,86,72,66,45,57,69,58,44,29
North Okanagan,RCMP Provincial,Armstrong Prov (3),109,54,83,91,96,120,72,49,31,37
Thompson Nicola,RCMP Provincial,Ashcroft Prov,123,145,116,89,105,90,65,63,60,66
Kitimat Stikine,RCMP Provincial,Atlin Prov,19,26,28,27,20,28,41,20,19,18
Thompson Nicola,RCMP Provincial,Barriere Prov,67,67,86,59,61,44,49,64,69,58
Central Coast,RCMP Provincial,Bella Bella Prov (4),150,130,118,167,146,131,123,119,85,33
Central Coast,RCMP Provincial,Bella Coola Prov,95,113,72,96,121,81,109,48,57,66
Fraser Valley,RCMP Provincial,Boston Bar Prov,30,25,24,19,28,22,19,21,13,13
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),86,104,113,132,162,133,88,91,56,85
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),34,31,42,70,59,48,30,20,41,34
Metro Vancouver,RCMP Provincial,Bowen Island Prov,26,14,21,21,17,34,14,25,27,38
Metro Vancouver,RCMP Municipal,Burnaby Mun,"3,127","3,035","2,886","2,928","2,318","2,193","1,911","1,654","1,702","1,810"
Bulkley Nechako,RCMP Provincial,Burns Lake Prov,449,411,298,327,277,234,198,158,182,156
Strathcona,RCMP Municipal,Campbell River Mun,971,913,767,746,730,653,586,508,468,498
Strathcona,RCMP Provincial,Campbell River Prov,100,112,58,90,72,77,91,60,56,75
Central Kootenay,RCMP Municipal,Castlegar Mun,207,164,189,137,187,203,192,170,132,141
Central Kootenay,RCMP Provincial,Castlegar Prov (5),56,57,54,50,67,72,84,56,72,61
