STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Criminal Code Offences,Fraser Valley,Independent Municipal,Abbotsford Mun (1),"12,644.00","12,414.00","11,673.00","9,421.00","8,860.00","8,229.00","7,271.00","7,357.00","7,994.00","9,099.00"
Criminal Code Offences,Fraser Valley,RCMP Provincial,Agassiz Prov (2),"1,282.00","1,185.00","1,140.00",711.00,544.00,527.00,469.00,459.00,413.00,534.00
Criminal Code Offences,Mount Waddington,RCMP Provincial,Alert Bay Prov,259.00,315.00,288.00,306.00,273.00,282.00,277.00,232.00,232.00,187.00
Criminal Code Offences,Cariboo,RCMP Provincial,Alexis Creek Prov,557.00,475.00,437.00,317.00,218.00,261.00,328.00,339.00,306.00,209.00
Criminal Code Offences,Cariboo,RCMP Provincial,Anahim Lake Prov,285.00,378.00,283.00,233.00,163.00,156.00,183.00,165.00,158.00,112.00
Criminal Code Offences,North Okanagan,RCMP Provincial,Armstrong Prov (3),590.00,599.00,526.00,464.00,462.00,447.00,276.00,245.00,201.00,223.00
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Ashcroft Prov,563.00,593.00,507.00,354.00,347.00,294.00,229.00,200.00,253.00,290.00
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Atlin Prov,79.00,71.00,67.00,99.00,76.00,86.00,118.00,68.00,73.00,55.00
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Barriere Prov,261.00,292.00,235.00,188.00,186.00,166.00,198.00,214.00,246.00,285.00
Criminal Code Offences,Central Coast,RCMP Provincial,Bella Bella Prov (4),614.00,574.00,475.00,438.00,429.00,417.00,391.00,313.00,269.00,141.00
Criminal Code Offences,Central Coast,RCMP Provincial,Bella Coola Prov,408.00,362.00,361.00,341.00,413.00,362.00,396.00,180.00,229.00,189.00
Criminal Code Offences,Fraser Valley,RCMP Provincial,Boston Bar Prov,135.00,141.00,143.00,115.00,152.00,120.00,114.00,97.00,75.00,98.00
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),600.00,667.00,796.00,777.00,781.00,637.00,611.00,436.00,466.00,523.00
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),190.00,170.00,229.00,252.00,307.00,263.00,160.00,127.00,165.00,200.00
Criminal Code Offences,Metro Vancouver,RCMP Provincial,Bowen Island Prov,123.00,108.00,131.00,129.00,87.00,123.00,67.00,93.00,70.00,120.00
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Burnaby Mun,"22,986.00","19,595.00","17,609.00","18,255.00","16,079.00","14,848.00","14,965.00","13,512.00","14,538.00","14,881.00"
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Burns Lake Prov,"1,730.00","1,451.00","1,111.00","1,259.00","1,258.00","1,002.00",996.00,905.00,785.00,704.00
