Area,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Abbotsford Mun,195,199,204,209,210,216,217,216,212,212
Agassiz Prov,12,12,12,7,7,7,7,8,8,8
Alert Bay Prov,3,3,3,3,3,3,3,3,4,4
Alexis Creek Prov,5,5,5,5,5,5,5,5,5,5
Anahim Lake Prov,4,4,4,4,4,4,4,4,4,4
Armstrong Prov,8,8,8,8,8,8,5,5,6,6
Ashcroft Prov,5,5,5,5,5,5,5,5,5,5
Atlin Prov,3,3,3,3,3,3,3,3,3,3
Barriere Prov,4,4,4,4,4,4,4,4,4,4
Bella Bella Prov,5,5,5,5,5,5,5,5,5,5
Bella Coola Prov,3,3,3,3,3,3,3,3,4,4
Boston Bar Prov,3,3,3,3,3,3,3,3,3,3
Bowen Island Prov,2,3,3,3,3,3,3,3,3,3
Burnaby Mun,265,265,265,277,277,277,277,277,277,277
Burns Lake Prov,11,11,11,11,11,11,11,11,11,11
Campbell River Mun,41,43,43,43,43,43,43,43,43,43
Campbell River Prov,7,7,7,7,7,7,7,7,7,7
Castlegar Mun,11,11,13,13,13,13,13,13,13,13
Central Saanich Mun,21,21,22,23,23,23,23,23,23,26
Chase Prov,9,9,9,9,9,9,9,9,9,9
Chetwynd Prov,9,10,10,10,10,10,10,10,10,10
Chilliwack Mun,91,94,95,103,104,105,106,107,107,108
Chilliwack Prov,8,8,8,8,8,8,8,8,8,8
Clearwater Prov,5,5,5,5,5,5,5,6,6,6
Clinton Prov,4,4,4,4,4,4,4,4,4,4
Coldstream Mun,7,7,7,7,7,7,7,7,7,7
Columbia Valley Prov,12,12,12,11,11,11,11,11,11,11
Colwood Mun,16,16,16,16,16,16,17,17,17,17
Comox Mun,10,11,12,12,12,12,12,12,12,12
Comox Valley Prov,19,19,19,19,19,19,19,19,19,19
Coquitlam Mun,134,140,142,148,148,152,152,152,152,156
Coquitlam Prov,3,3,3,3,3,3,3,3,3,3
Courtenay Mun,26,26,28,28,28,30,30,30,30,30
Cranbrook Mun,24,24,25,26,26,26,26,26,26,26
Cranbrook Prov,4,4,4,4,4,4,4,4,4,4
Creston Mun,,,,,,,7,7,7,7
Creston Prov,13,13,13,13,13,13,6,6,6,6
Dawson Creek Mun,22,23,23,23,24,24,25,25,25,25
Dawson Creek Prov,4,4,4,4,4,4,4,4,4,4
Dease Lake Prov,6,6,6,6,6,6,6,6,7,7
Delta Mun,151,160,160,165,165,170,170,170,173,173
Duncan Prov,21,21,21,22,23,23,23,23,23,23
Elk Valley Detachment,18,18,18,18,18,18,18,18,18,18
Elkford Prov,3,3,3,3,3,3,3,3,3,3
Fernie Prov,9,9,9,9,9,9,9,9,9,9
Sparwood Prov,6,6,6,6,5,5,5,5,5,5
Enderby Prov,8,8,8,6,6,6,6,6,8,8
Falkland Prov,3,3,3,3,3,3,3,3,3,3
Fort St. James Prov,14,14,14,14,14,14,13,13,13,13
Fort St. John Mun,28,29,32,32,34,34,34,34,34,36
Fort St. John Prov,10,10,10,10,10,10,10,10,10,10
Fraser Lake Prov,5,5,5,5,5,5,5,5,5,5
Gabriola Island Prov,3,3,3,3,3,3,3,3,3,3
Golden Prov,11,11,11,11,11,11,11,11,11,11
Hope Mun,13,13,13,13,13,13,13,13,13,13
Hope Prov,5,5,5,5,5,5,5,5,5,5
Houston Granisle Detachment,6,6,6,6,6,6,6,6,9,9
Hudsons Hope Prov,3,3,3,3,3,3,3,3,3,3
Kamloops Mun,120,120,124,124,124,124,124,124,124,136
Kelowna Mun,139,141,154,154,156,160,174,177,179,185
Kelowna Prov,33,33,34,16,18,18,15,15,15,15
Kent Mun,,,,5,5,5,5,5,6,6
Keremeos Prov,5,5,5,5,5,6,6,6,6,6
Kimberley Mun,9,9,9,9,9,8,8,8,8,8
Kimberley Prov,2,2,2,2,2,2,2,2,2,2
Kitimat Mun,15,15,15,15,15,15,15,15,16,18
Kitimat Prov,2,2,2,2,2,2,2,2,2,2
Kootenay Boundary Regional Detachment,48,49,50,53,53,53,53,53,53,53
Castlegar Prov,4,4,4,3,3,3,3,3,3,3
Grand Forks Prov,8,9,10,10,10,10,10,10,10,10
Kaslo Prov,3,3,3,3,3,3,3,3,3,3
Midway Prov,4,4,4,4,4,4,4,4,4,4
Nakusp Prov,4,4,4,4,4,4,4,4,4,4
Nelson Prov,8,8,8,6,6,6,6,6,6,6
