Police Force,Area,Year,Population,Authorized Strength,CCC Offences,Crime Rate,Case Load,Adjusted Strength,Pop Per Officer,Total Costs,Cost Per Capita
Independant Municipal PD,Abbotsford Mun,2015,"141,580",212,"9,099",64,42,217,652,"43,620,134",308
Independant Municipal PD,Central Saanich Mun,2015,"16,046",26,461,29,18,26,617,"4,263,378",266
Independant Municipal PD,Delta Mun,2015,"101,548",173,"4,674",46,27,175,580,"33,957,501",334
Independant Municipal PD,Nelson City Mun,2015,"10,802",19,854,79,45,19,569,"3,243,944",300
Independant Municipal PD,New Westminster Mun,2015,"71,665",108,"5,393",75,49,111,646,"24,426,500",341
Independant Municipal PD,Oak Bay Mun,2015,"17,474",23,509,29,22,23,760,"4,550,452",260
Independant Municipal PD,Port Moody Mun,2015,"34,554",51,"1,165",34,22,52,665,"10,218,530",296
Independant Municipal PD,Saanich Mun,2015,"110,803",157,"4,342",39,28,157,706,"36,097,633",326
Independant Municipal PD,Vancouver Mun,2015,"650,575","1,327","49,803",77,38,"1,327",490,"263,869,064",406
Independant Municipal PD,Victoria Mun,2015,"101,490",243,"11,662",115,48,243,418,"45,787,546",451
Independant Municipal PD,West Vancouver Mun,2015,"45,148",79,"1,970",44,25,80,564,"14,752,797",327
RCMP Municipal,Burnaby Mun,2015,"238,209",277,"14,881",62,50,300,794,"53,108,280",223
RCMP Municipal,Campbell River Mun,2015,"33,395",43,"3,230",97,75,43,777,"8,328,473",249
RCMP Municipal,Castlegar Mun,2015,"7,953",13,665,84,51,13,612,"1,660,897",209
RCMP Municipal,Chilliwack Mun,2015,"89,823",108,"9,940",111,84,119,755,"19,910,671",222
RCMP Municipal,Coldstream Mun,2015,"10,821",7,353,33,50,7,"1,546","840,457",78
RCMP Municipal,Colwood Mun,2015,"16,955",17,621,37,37,17,997,"3,278,869",193
RCMP Municipal,Comox Mun,2015,"13,986",12,536,38,45,12,"1,166","1,344,381",96
RCMP Municipal,Coquitlam Mun,2015,"144,716",156,"8,896",61,54,166,872,"27,822,514",192
RCMP Municipal,Courtenay Mun,2015,"25,244",30,"2,745",109,92,30,841,"5,911,725",234
RCMP Municipal,Cranbrook Mun,2015,"19,911",26,"1,564",79,60,26,766,"5,020,598",252
RCMP Municipal,Creston Mun,2015,"4,744",7,464,98,66,7,678,"1,024,895",216
RCMP Municipal,Dawson Creek Mun,2015,"11,944",25,"1,766",148,71,25,478,"3,726,986",312
RCMP Municipal,Fort St. John Mun,2015,"120,778",36,"3,032",146,84,36,577,"6,100,978",294
RCMP Municipal,Hope Mun,2015,"5,714",13,"1,006",176,72,14,408,"2,046,489",358
RCMP Municipal,Kamloops Mun,2015,"89,995",136,"8,585",95,63,136,662,"21,294,208",237
RCMP Municipal,Kelowna Mun,2015,"124,378",185,"12,428",100,67,185,672,"31,240,782",251
RCMP Municipal,Kent Mun,2015,"6,195",6,441,71,63,7,885,"1,030,727",166
RCMP Municipal,Kimberley Mun,2015,"6,746",8,354,52,44,8,843,"814,935",121
RCMP Municipal,Kitimat Mun,2015,"8,211",18,683,83,38,18,456,"1,995,512",243
RCMP Municipal,Ladysmith Mun,2015,"8,177",7,661,81,94,7,"1,168","997,980",122
RCMP Municipal,Lake Country Mun,2015,"14,035",12,672,48,56,12,"1,170","1,682,422",120
RCMP Municipal,Langford Mun,2015,"37,275",30,"1,738",47,58,30,"1,243","5,829,461",156
RCMP Municipal,Langley City Mun,2015,"27,738",50,"3,931",142,71,55,504,"10,340,718",373
RCMP Municipal,Langley Township Mun,2015,"117,580",138,"8,483",72,57,149,789,"27,782,267",236
RCMP Municipal,Maple Ridge Mun,2015,"81,533",96,"7,809",96,74,105,777,"18,620,212",228
RCMP Municipal,Merritt Mun,2015,"7,610",15,"1,037",136,69,15,507,"2,271,484",298
RCMP Municipal,Mission Mun,2015,"38,711",50,"4,638",120,84,55,704,"9,815,864",254
RCMP Municipal,Nanaimo Mun,2015,"90,907",145,"8,571",94,59,145,627,"25,849,788",284
RCMP Municipal,North Cowichan Mun,2015,"29,999",31,"2,493",83,80,31,968,"5,543,818",185
RCMP Municipal,North Saanich Mun,2015,"10,994",11,328,30,30,11,999,"1,595,863",145
RCMP Municipal,North Vancouver City Mun,2015,"54,258",64,"3,925",72,60,65,835,"12,028,647",222
RCMP Municipal,North Vancouver District Mun,2015,"85,974",91,"3,347",39,37,91,945,"15,701,670",183
RCMP Municipal,Northern Rockies Mun,2015,"5,366",11,636,119,58,11,488,"1,790,423",334
RCMP Municipal,Parksville Mun,2015,"12,598",16,"1,133",90,71,16,787,"2,294,339",182
RCMP Municipal,Peachland Mun,2015,"5,013",4,169,34,42,4,"1,253","568,599",113
RCMP Municipal,Penticton Mun,2015,"33,964",45,"4,284",126,95,45,755,"8,357,087",246
RCMP Municipal,Pitt Meadows Mun,2015,"19,652",22,"1,627",83,68,24,819,"4,153,238",211
RCMP Municipal,Port Alberni Mun,2015,"16,149",34,"2,126",132,63,34,475,"6,149,017",381
RCMP Municipal,Port Coquitlam Mun,2015,"60,270",67,"4,777",79,66,72,837,"13,152,863",218
RCMP Municipal,Powell River Mun,2015,"12,893",18,876,68,49,18,716,"2,497,164",194
RCMP Municipal,Prince George Mun,2015,"71,363",135,"10,643",149,79,135,529,"23,342,929",327
RCMP Municipal,Prince Rupert Mun,2015,"11,386",36,"2,505",220,70,36,316,"4,841,181",425
RCMP Municipal,Qualicum Beach Mun,2015,"8,940",8,293,33,37,8,"1,118","979,260",110
RCMP Municipal,Quesnel Mun,2015,"9,160",21,"1,885",206,90,21,436,"3,604,306",393
RCMP Municipal,Revelstoke Mun,2015,"7,192",12,526,73,44,12,599,"1,381,483",192
RCMP Municipal,Richmond Mun,2015,"207,773",212,"12,082",58,55,220,944,"42,673,455",205
RCMP Municipal,Salmon Arm Mun,2015,"17,183",19,851,50,45,19,904,"2,816,062",164
RCMP Municipal,Sechelt Mun,2015,"9,773",11,661,68,55,12,814,"1,976,021",202
