REGION,TYPE OF POLICING,POLICING JURISDICTION,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Fraser Valley,Independent Municipal PD,Abbotsford Mun," 128,221 "," 128,712 "," 129,407 "," 130,938 "," 132,890 "," 135,063 "," 136,866 "," 137,033 "," 137,431 "," 138,287 "," 138,586 "
Fraser Valley,RCMP Provincial,Agassiz Prov," 9,065 "," 9,271 "," 9,317 "," 9,352 "," 9,530 "," 3,902 "," 3,847 "," 3,833 "," 3,810 "," 3,864 "," 3,847 "
Mount Waddington,RCMP Provincial,Alert Bay Prov," 1,518 "," 1,494 "," 1,447 "," 1,425 "," 1,425 "," 1,398 "," 1,379 "," 1,370 "," 1,361 "," 1,363 "," 1,363 "
Cariboo,RCMP Provincial,Alexis Creek Prov," 1,789 "," 1,766 "," 1,743 "," 1,723 "," 1,738 "," 1,733 "," 1,723 "," 1,713 "," 1,714 "," 1,722 "," 1,729 "
Cariboo,RCMP Provincial,Anahim Lake Prov, 740 , 730 , 721 , 712 , 719 , 716 , 712 , 708 , 709 , 712 , 715 
North Okanagan,RCMP Provincial,Armstrong Prov," 10,022 "," 9,964 "," 9,833 "," 9,920 "," 10,154 "," 10,417 "," 10,479 "," 10,495 "," 5,480 "," 5,472 "," 5,400 "
Thompson Nicola,RCMP Provincial,Ashcroft Prov," 4,085 "," 3,825 "," 3,778 "," 3,813 "," 3,847 "," 3,830 "," 3,776 "," 3,752 "," 3,712 "," 3,699 "," 3,722 "
Kitimat Stikine,RCMP Provincial,Atlin Prov, 774 , 757 , 717 , 738 , 440 , 427 , 414 , 406 , 427 , 442 , 433 
Thompson Nicola,RCMP Provincial,Barriere Prov," 2,441 "," 3,771 "," 3,810 "," 3,816 "," 3,897 "," 3,947 "," 3,888 "," 3,878 "," 3,906 "," 3,904 "," 3,955 "
Central Coast,RCMP Provincial,Bella Bella Prov," 1,718 "," 1,685 "," 1,617 "," 1,596 "," 1,585 "," 1,588 "," 1,609 "," 1,639 "," 1,670 "," 1,656 "," 1,658 "
Central Coast,RCMP Provincial,Bella Coola Prov," 2,064 "," 2,019 "," 1,923 "," 1,900 "," 1,875 "," 1,880 "," 1,916 "," 1,962 "," 1,982 "," 1,954 "," 1,940 "
Fraser Valley,RCMP Provincial,Boston Bar Prov, 623 , 646 , 654 , 650 , 657 , 643 , 635 , 637 , 630 , 635 , 632 
Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov," 8,851 "," 8,903 "," 8,856 "," 8,914 "," 9,036 "," 8,969 "," 8,725 "," 8,629 "," 8,508 "," 8,347 "," 8,214 "
Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov," 2,829 "," 2,835 "," 2,818 "," 2,852 "," 2,917 "," 2,910 "," 2,895 "," 2,893 "," 2,841 "," 2,770 "," 2,728 "
Metro Vancouver,RCMP Provincial,Bowen Island Prov," 3,332 "," 3,391 "," 3,460 "," 3,457 "," 3,454 "," 3,423 "," 3,427 "," 3,405 "," 3,453 "," 3,468 "," 3,479 "
