STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,Year,Value
Criminal Code Offences,Fraser Valley,Independent Municipal,Abbotsford Mun,2006,12644.0
Criminal Code Offences,Fraser Valley,RCMP Provincial,Agassiz Prov,2006,1282.0
Criminal Code Offences,Mount Waddington,RCMP Provincial,Alert Bay Prov,2006,259.0
Criminal Code Offences,Cariboo,RCMP Provincial,Alexis Creek Prov,2006,557.0
Criminal Code Offences,Cariboo,RCMP Provincial,Anahim Lake Prov,2006,285.0
Criminal Code Offences,North Okanagan,RCMP Provincial,Armstrong Prov,2006,590.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Ashcroft Prov,2006,563.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Atlin Prov,2006,79.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Barriere Prov,2006,261.0
Criminal Code Offences,Central Coast,RCMP Provincial,Bella Bella Prov,2006,614.0
Criminal Code Offences,Central Coast,RCMP Provincial,Bella Coola Prov,2006,408.0
Criminal Code Offences,Fraser Valley,RCMP Provincial,Boston Bar Prov,2006,135.0
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov,2006,600.0
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov,2006,190.0
Criminal Code Offences,Metro Vancouver,RCMP Provincial,Bowen Island Prov,2006,123.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Burnaby Mun,2006,22986.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Burns Lake Prov,2006,1730.0
Criminal Code Offences,Strathcona,RCMP Municipal,Campbell River Mun,2006,5346.0
Criminal Code Offences,Strathcona,RCMP Provincial,Campbell River Prov,2006,553.0
Criminal Code Offences,Central Kootenay,RCMP Municipal,Castlegar Mun,2006,1214.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Castlegar Prov,2006,308.0
Criminal Code Offences,Capital,Independent Municipal,Central Saanich Mun,2006,720.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Chase Prov,2006,753.0
Criminal Code Offences,Peace River,RCMP Provincial,Chetwynd Prov,2006,1032.0
Criminal Code Offences,Fraser Valley,RCMP Municipal,Chilliwack Mun,2006,10852.0
Criminal Code Offences,Fraser Valley,RCMP Provincial,Chilliwack Prov,2006,393.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Clearwater Prov,2006,386.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Clinton Prov,2006,179.0
Criminal Code Offences,North Okanagan,RCMP Municipal,Coldstream Mun,2006,352.0
Criminal Code Offences,East Kootenay,RCMP Provincial,Columbia Valley Prov,2006,1099.0
Criminal Code Offences,Capital,RCMP Municipal,Colwood Mun,2006,1390.0
Criminal Code Offences,Comox Valley,RCMP Municipal,Comox Mun,2006,563.0
Criminal Code Offences,Comox Valley,RCMP Provincial,Comox Valley Prov,2006,1466.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Coquitlam Mun,2006,10458.0
Criminal Code Offences,Metro Vancouver,RCMP Provincial,Coquitlam Prov,2006,118.0
Criminal Code Offences,Comox Valley,RCMP Municipal,Courtenay Mun,2006,3400.0
Criminal Code Offences,East Kootenay,RCMP Municipal,Cranbrook Mun,2006,2335.0
Criminal Code Offences,East Kootenay,RCMP Provincial,Cranbrook Prov,2006,283.0
Criminal Code Offences,Central Kootenay,RCMP Municipal,Creston Mun,2006,NA
Criminal Code Offences,Central Kootenay,RCMP Provincial,Creston Prov,2006,1300.0
Criminal Code Offences,Peace River,RCMP Municipal,Dawson Creek Mun,2006,2295.0
Criminal Code Offences,Peace River,RCMP Provincial,Dawson Creek Prov,2006,364.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,2006,281.0
Criminal Code Offences,Metro Vancouver,Independent Municipal,Delta Mun,2006,6959.0
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Duncan Prov,2006,3328.0
Criminal Code Offences,East Kootenay,RCMP Provincial,Elk Valley Prov,2006,1464.0
Criminal Code Offences,North Okanagan,RCMP Provincial,Enderby Prov,2006,772.0
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Falkland Prov,2006,117.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Fort St James Prov,2006,1482.0
Criminal Code Offences,Peace River,RCMP Municipal,Fort St John Mun,2006,3815.0
Criminal Code Offences,Peace River,RCMP Provincial,Fort St John Prov,2006,858.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,2006,237.0
Criminal Code Offences,Nanaimo,RCMP Provincial,Gabriola Island Prov,2006,169.0
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Golden Prov,2006,762.0
Criminal Code Offences,Fraser Valley,RCMP Municipal,Hope Mun,2006,1163.0
Criminal Code Offences,Fraser Valley,RCMP Provincial,Hope  Prov,2006,291.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov,2006,529.0
Criminal Code Offences,Peace River,RCMP Provincial,Hudson's Hope Prov,2006,58.0
Criminal Code Offences,Thompson Nicola,RCMP Municipal,Kamloops Mun,2006,13222.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Kaslo Prov,2006,261.0
Criminal Code Offences,Central Okanagan,RCMP Municipal,Kelowna Mun,2006,15068.0
Criminal Code Offences,Central Okanagan,RCMP Provincial,Kelowna Prov,2006,3460.0
Criminal Code Offences,Fraser Valley,RCMP Municipal,Kent Mun,2006,NA
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,2006,287.0
Criminal Code Offences,East Kootenay,RCMP Municipal,Kimberley Mun,2006,495.0
Criminal Code Offences,East Kootenay,RCMP Provincial,Kimberley Prov,2006,107.0
Criminal Code Offences,Kitimat Stikine,RCMP Municipal,Kitimat Mun,2006,751.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Kitimat Prov,2006,73.0
Criminal Code Offences,Cowichan Valley,RCMP Municipal,Ladysmith Mun,2006,542.0
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Ladysmith Prov,2006,414.0
Criminal Code Offences,Central Okanagan,RCMP Municipal,Lake Country Mun,2006,684.0
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,2006,837.0
Criminal Code Offences,Capital,RCMP Municipal,Langford Mun,2006,2990.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley City Mun,2006,4418.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Langley Township Mun,2006,9643.0
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Lillooet Prov,2006,505.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,2006,501.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Logan Lake Prov,2006,220.0
Criminal Code Offences,North Okanagan,RCMP Provincial,Lumby Prov,2006,382.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,Lytton Prov,2006,347.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Mackenzie Prov,2006,518.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Maple Ridge Mun,2006,8239.0
Criminal Code Offences,North Coast Regional District (22),RCMP Provincial,Masset Prov,2006,672.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,McBride Prov,2006,224.0
